date,sell,buy,sell_ma7,sell_ma30,sell_ma365,price_change_pct,sell_volatility_30,day_of_week,quarter,month
2018-04-08,6110.0,5820.0,6140.0,6134.666666666667,7229.123287671233,0.0,34.314301163431736,6,2,4
2018-04-09,6140.0,5840.0,6131.428571428572,6133.666666666667,7228.7945205479455,0.49099836333879043,33.68037731467422,0,2,4
2018-04-10,6170.0,5870.0,6130.0,6133.666666666667,7228.54794520548,0.48859934853420217,33.68037731467422,1,2,4
2018-04-11,6180.0,5880.0,6138.571428571428,6133.666666666667,7228.328767123287,0.16207455429497752,33.68037731467422,2,2,4
2018-04-12,6190.0,5890.0,6144.285714285715,6134.0,7228.13698630137,0.16181229773462036,34.20022181771139,3,2,4
2018-04-13,6200.0,5890.0,6157.142857142857,6134.666666666667,7227.972602739726,0.1615508885298933,35.304911578646795,4,2,4
2018-04-14,6160.0,5870.0,6164.285714285715,6136.333333333333,7227.698630136986,-0.6451612903225823,35.28048530909184,5,2,4
2018-04-15,6160.0,5870.0,6171.428571428572,6138.666666666667,7227.424657534247,0.0,34.4146453716852,6,2,4
2018-04-16,6170.0,5870.0,6175.714285714285,6141.333333333333,7227.178082191781,0.16233766233766378,33.603502827320945,0,2,4
2018-04-17,6190.0,5890.0,6178.571428571428,6144.666666666667,7226.986301369863,0.32414910858995505,33.29422993693315,1,2,4
2018-04-18,6190.0,5890.0,6180.0,6146.666666666667,7226.7945205479455,0.0,34.17332427378081,2,2,4
2018-04-19,6200.0,5900.0,6181.428571428572,6148.666666666667,7226.630136986301,0.1615508885298933,35.499716689354564,3,2,4
2018-04-20,6200.0,5900.0,6181.428571428572,6151.666666666667,7226.465753424657,0.0,35.91977011374739,4,2,4
2018-04-21,6160.0,5860.0,6181.428571428572,6153.0,7226.191780821918,-0.6451612903225823,35.44300913464772,5,2,4
2018-04-22,6160.0,5860.0,6181.428571428572,6155.0,7225.917808219178,0.0,34.013182028312876,6,2,4
2018-04-23,6140.0,5850.0,6177.142857142857,6156.333333333333,7225.58904109589,-0.32467532467532756,32.53468529267576,0,2,4
2018-04-24,6140.0,5850.0,6170.0,6157.666666666667,7225.260273972603,0.0,30.92631212375992,1,2,4
2018-04-25,6150.0,5850.0,6164.285714285715,6159.333333333333,7224.958904109589,0.16286644951140072,28.998612728834473,2,2,4
2018-04-26,6140.0,5840.0,6155.714285714285,6160.333333333333,7224.630136986301,-0.1626016260162566,27.72815490940004,3,2,4
2018-04-27,6200.0,5900.0,6155.714285714285,6162.666666666667,7224.465753424657,0.9771986970684043,28.03118132373017,4,2,4
2018-04-28,6210.0,5900.0,6162.857142857143,6164.666666666667,7224.328767123287,0.1612903225806539,29.211869733045237,5,2,4
2018-04-29,6210.0,5900.0,6170.0,6166.0,7224.191780821918,0.0,30.354230517539172,6,2,4
2018-04-30,6190.0,5900.0,6177.142857142857,6166.666666666667,7224.0,-0.32206119162641045,30.663168215703895,0,2,4
2018-05-01,6190.0,5900.0,6184.285714285715,6167.333333333333,7223.808219178082,0.0,30.954174508575015,1,2,5
2018-05-02,6190.0,5900.0,6190.0,6167.0,7223.6164383561645,0.0,30.642544235237107,2,2,5
2018-05-03,6230.0,5930.0,6202.857142857143,6168.666666666667,7223.534246575343,0.646203554119551,32.666901241909954,3,2,5
2018-05-04,6170.0,5880.0,6198.571428571428,6170.333333333333,7223.287671232877,-0.9630818619582704,31.34714784678206,4,2,5
2018-05-05,6180.0,5880.0,6194.285714285715,6171.333333333333,7223.068493150685,0.16207455429497752,31.154048093478547,5,2,5
2018-05-06,6180.0,5880.0,6190.0,6173.666666666667,7222.8493150684935,0.0,28.94505297837826,6,2,5
2018-05-07,6230.0,5930.0,6195.714285714285,6177.666666666667,7222.767123287671,0.8090614886731462,28.123291773848106,0,2,5
2018-05-08,6250.0,6060.0,6204.285714285715,6182.333333333333,7222.739726027397,0.32102728731941976,28.12329177384826,1,2,5
2018-05-09,6250.0,6060.0,6212.857142857143,6186.0,7222.712328767123,0.0,29.54832394981125,2,2,5
2018-05-10,6250.0,5930.0,6215.714285714285,6188.666666666667,7222.684931506849,0.0,31.59368480420361,3,2,5
2018-05-11,6260.0,5940.0,6228.571428571428,6191.333333333333,7222.684931506849,0.16000000000000458,34.11272725665135,4,2,5
2018-05-12,6260.0,5940.0,6240.0,6193.666666666667,7222.684931506849,0.0,36.33971261046005,5,2,5
2018-05-13,6260.0,5940.0,6251.428571428572,6195.666666666667,7222.684931506849,0.0,38.29858494987197,6,2,5
2018-05-14,6290.0,5970.0,6260.0,6200.0,7222.767123287671,0.4792332268370503,41.3563154494374,0,2,5
2018-05-15,6300.0,6110.0,6267.142857142857,6204.666666666667,7222.876712328767,0.15898251192367763,44.468767290481416,1,2,5
2018-05-16,6310.0,6120.0,6275.714285714285,6209.333333333333,7223.013698630137,0.15873015873015817,47.917553714585345,2,2,5
2018-05-17,6310.0,6120.0,6284.285714285715,6213.333333333333,7223.1506849315065,0.0,51.1477463236669,3,2,5
2018-05-18,6270.0,6080.0,6285.714285714285,6216.0,7223.178082191781,-0.6339144215530945,51.968160013027315,4,2,5
2018-05-19,6260.0,6070.0,6285.714285714285,6218.0,7223.178082191781,-0.15948963317384823,52.48316643065556,5,2,5
2018-05-20,6260.0,6070.0,6285.714285714285,6220.0,7223.178082191781,0.0,52.91502622098193,6,2,5
2018-05-21,6230.0,6040.0,6277.142857142857,6222.333333333333,7223.095890410959,-0.4792332268370614,51.7076218838843,0,2,5
2018-05-22,6120.0,5930.0,6251.428571428572,6221.0,7222.712328767123,-1.7656500802568198,53.84204228303926,1,2,5
2018-05-23,6230.0,6040.0,6240.0,6224.0,7222.630136986301,1.7973856209150263,51.635326052218716,2,2,5
2018-05-24,6250.0,6060.0,6231.428571428572,6227.666666666667,7222.602739726028,0.32102728731941976,49.318341928150154,3,2,5
2018-05-25,6250.0,6060.0,6228.571428571428,6231.0,7222.575342465753,0.0,47.222875812123405,4,2,5
2018-05-26,6260.0,6070.0,6228.571428571428,6235.0,7222.575342465753,0.16000000000000458,44.23682348102511,5,2,5
2018-05-27,6260.0,6070.0,6228.571428571428,6237.0,7222.575342465753,0.0,43.95530645422101,6,2,5
2018-05-28,6220.0,6030.0,6227.142857142857,6237.333333333333,7222.465753424657,-0.6389776357827448,43.7810645046765,0,2,5
2018-05-29,6220.0,5900.0,6241.428571428572,6237.666666666667,7222.356164383562,0.0,43.60349031652553,1,2,5
2018-05-30,6210.0,6020.0,6238.571428571428,6238.333333333333,7222.219178082192,-0.1607717041800627,42.99826246117264,2,2,5
2018-05-31,6220.0,6030.0,6234.285714285715,6239.333333333333,7222.109589041096,0.16103059581320522,42.176422023209724,3,2,5
2018-06-01,6220.0,6030.0,6230.0,6240.333333333333,7222.0,0.0,41.31321349353801,4,2,6
2018-06-02,6220.0,6030.0,6224.285714285715,6240.0,7221.890410958904,0.0,41.43961123463385,5,2,6
2018-06-03,6220.0,6030.0,6218.571428571428,6241.666666666667,7221.780821917808,0.0,39.48664840507616,6,2,6
2018-06-04,6220.0,6030.0,6218.571428571428,6243.0,7221.671232876713,0.0,37.97912312140323,0,2,6
2018-06-05,6160.0,5970.0,6210.0,6242.333333333333,7221.397260273972,-0.9646302250803873,39.27650287548744,1,2,6
2018-06-06,6160.0,5970.0,6202.857142857143,6240.0,7221.123287671233,0.0,42.01805851472144,2,2,6
2018-06-07,6120.0,5930.0,6188.571428571428,6235.666666666667,7220.739726027397,-0.649350649350644,47.32013738638215,3,2,6
2018-06-08,6130.0,5940.0,6175.714285714285,6231.666666666667,7220.3835616438355,0.16339869281045694,50.995830345341915,4,2,6
2018-06-09,6130.0,5940.0,6162.857142857143,6227.666666666667,7220.027397260274,0.0,54.11885599936356,5,2,6
2018-06-10,6130.0,5940.0,6150.0,6223.333333333333,7219.671232876713,0.0,56.58885800704857,6,2,6
2018-06-11,6130.0,5940.0,6137.142857142857,6219.0,7219.315068493151,0.0,58.625050547452155,0,2,6
2018-06-12,6130.0,5940.0,6132.857142857143,6214.666666666667,7218.958904109589,0.0,60.27141675892557,1,2,6
2018-06-13,6130.0,5940.0,6128.571428571428,6209.333333333333,7218.602739726028,0.0,60.454219403159364,2,2,6
2018-06-14,6130.0,5940.0,6130.0,6203.666666666667,7218.246575342466,0.0,59.62430268968797,3,2,6
2018-06-15,6130.0,5940.0,6130.0,6197.666666666667,7217.890410958904,0.0,57.576535769630354,4,2,6
2018-06-16,6130.0,5940.0,6130.0,6191.666666666667,7217.534246575343,0.0,54.777501883627615,5,2,6
2018-06-17,6130.0,5940.0,6130.0,6187.0,7217.178082191781,0.0,53.82923189925427,6,2,6
2018-06-18,6130.0,5940.0,6130.0,6182.666666666667,7216.821917808219,0.0,52.97581317522485,0,2,6
2018-06-19,6130.0,5940.0,6130.0,6178.333333333333,7213.58904109589,0.0,51.73429019109386,1,2,6
2018-06-20,6130.0,5940.0,6130.0,6175.0,7210.356164383562,0.0,51.51163243219115,2,2,6
2018-06-21,6120.0,5930.0,6128.571428571428,6175.0,7207.095890410959,-0.16313213703099683,51.51163243219115,3,2,6
2018-06-22,6080.0,5890.0,6121.428571428572,6170.0,7203.726027397261,-0.6535947712418277,53.23986061765903,4,2,6
2018-06-23,6080.0,5890.0,6114.285714285715,6164.333333333333,7200.356164383562,0.0,53.47789316566527,5,2,6
2018-06-24,6080.0,5890.0,6107.142857142857,6158.666666666667,7196.986301369863,0.0,53.09284862087983,6,2,6
2018-06-25,6100.0,5910.0,6102.857142857143,6153.333333333333,7193.671232876713,0.328947368421062,50.53734251494368,0,2,6
2018-06-26,6080.0,5890.0,6095.714285714285,6147.333333333333,7190.301369863014,-0.3278688524590123,48.06126358553438,1,2,6
2018-06-27,6090.0,5900.0,6090.0,6143.0,7186.958904109589,0.164473684210531,47.1351688009914,2,2,6
2018-06-28,6060.0,5870.0,6081.428571428572,6137.666666666667,7183.534246575343,-0.49261083743842304,47.17416982647867,3,2,6
2018-06-29,6070.0,5880.0,6080.0,6133.0,7180.13698630137,0.16501650165017256,46.69416267107741,4,2,6
2018-06-30,6070.0,5880.0,6078.571428571428,6128.0,7176.739726027397,0.0,45.059347837635116,5,2,6
2018-07-01,6070.0,5880.0,6077.142857142857,6123.0,7173.342465753424,0.0,42.76237469577564,6,3,7
2018-07-02,6080.0,5890.0,6074.285714285715,6118.333333333333,7169.972602739726,0.16474464579900872,39.31160514170426,0,3,7
2018-07-03,6090.0,5900.0,6075.714285714285,6114.0,7166.630136986301,0.164473684210531,34.60117598112807,1,3,7
2018-07-04,6110.0,5920.0,6078.571428571428,6110.333333333333,7163.342465753424,0.3284072249589487,28.22121155400318,2,3,7
2018-07-05,6110.0,5920.0,6085.714285714285,6108.666666666667,7160.054794520548,0.0,26.61777126457105,3,3,7
2018-07-06,6110.0,5920.0,6091.428571428572,6107.0,7156.767123287671,0.0,24.79571709335033,4,3,7
2018-07-07,6110.0,5920.0,6097.142857142857,6106.666666666667,7153.479452054795,0.0,24.681884090672984,5,3,7
2018-07-08,6110.0,5920.0,6102.857142857143,6106.0,7150.191780821918,0.0,24.297012728991298,6,3,7
2018-07-09,6100.0,5910.0,6105.714285714285,6105.0,7146.876712328767,-0.16366612111292644,23.88911164398879,0,3,7
2018-07-10,6110.0,5920.0,6108.571428571428,6104.333333333333,7143.58904109589,0.16393442622950616,23.44227441720613,1,3,7
2018-07-11,6090.0,5900.0,6105.714285714285,6103.0,7140.246575342466,-0.327332242225864,23.066620157356564,2,3,7
2018-07-12,6070.0,5880.0,6100.0,6101.0,7136.8493150684935,-0.3284072249589487,23.24531840076006,3,3,7
2018-07-13,6060.0,5870.0,6092.857142857143,6098.666666666667,7133.424657534247,-0.16474464579900872,23.74190727144781,4,3,7
2018-07-14,6060.0,5870.0,6085.714285714285,6096.333333333333,7130.0,0.0,23.99473122173378,5,3,7
2018-07-15,6060.0,5870.0,6078.571428571428,6094.0,7126.575342465753,0.0,24.011491501037018,6,3,7
2018-07-16,6050.0,5860.0,6071.428571428572,6091.333333333333,7123.123287671233,-0.16501650165016146,24.315928273099264,0,3,7
2018-07-17,6040.0,5850.0,6061.428571428572,6088.333333333333,7119.643835616438,-0.16528925619834212,24.925175381177898,1,3,7
2018-07-18,6000.0,5820.0,6048.571428571428,6084.0,7116.054794520548,-0.6622516556291425,28.478667151483123,2,3,7
2018-07-19,6000.0,5820.0,6038.571428571428,6079.666666666667,7112.465753424657,0.0,31.01538364996974,3,3,7
2018-07-20,6000.0,5820.0,6030.0,6075.333333333333,7108.876712328767,0.0,32.77228994855281,4,3,7
2018-07-21,6000.0,5820.0,6021.428571428572,6071.333333333333,7105.287671232877,0.0,34.41464537167555,5,3,7
2018-07-22,6000.0,5820.0,6012.857142857143,6068.666666666667,7101.698630136986,0.0,36.740781938296855,6,3,7
2018-07-23,6020.0,5830.0,6008.571428571428,6066.666666666667,7098.164383561644,0.33333333333334103,37.72251987491462,0,3,7
2018-07-24,6020.0,5830.0,6005.714285714285,6064.666666666667,7094.630136986301,0.0,38.57221917287378,1,3,7
2018-07-25,6030.0,5840.0,6010.0,6062.333333333333,7091.123287671233,0.16611295681063787,38.47823686981836,2,3,7
2018-07-26,6030.0,5840.0,6014.285714285715,6060.666666666667,7087.6164383561645,0.0,38.76839570724181,3,3,7
2018-07-27,6030.0,5840.0,6018.571428571428,6058.666666666667,7084.109589041096,0.0,38.750602516198946,4,3,7
2018-07-28,6000.0,5820.0,6018.571428571428,6056.666666666667,7080.520547945205,-0.497512437810943,40.20064618870101,5,3,7
2018-07-29,6000.0,5820.0,6018.571428571428,6054.333333333333,7076.931506849315,0.0,41.41325236238377,6,3,7
2018-07-30,6000.0,5820.0,6015.714285714285,6052.0,7073.342465753424,0.0,42.458905080745524,0,3,7
2018-07-31,5970.0,5790.0,6008.571428571428,6048.666666666667,7069.671232876713,-0.5000000000000004,44.854810477301,1,3,7
2018-08-01,5980.0,5800.0,6001.428571428572,6045.333333333333,7066.027397260274,0.16750418760469454,46.14320537484276,2,3,8
2018-08-02,5980.0,5800.0,5994.285714285715,6041.666666666667,7062.3835616438355,0.0,46.83671808405861,3,3,8
2018-08-03,5950.0,5770.0,5982.857142857143,6036.333333333333,7058.657534246576,-0.5016722408026753,47.88515955609972,4,3,8
2018-08-04,5960.0,5780.0,5977.142857142857,6031.333333333333,7054.958904109589,0.1680672268907557,47.75897339972716,5,3,8
2018-08-05,5960.0,5780.0,5971.428571428572,6026.333333333333,7051.260273972603,0.0,47.08637209158856,6,3,8
2018-08-06,6020.0,5830.0,5974.285714285715,6023.333333333333,7047.726027397261,1.0067114093959662,44.3600731730677,0,3,8
2018-08-07,5950.0,5770.0,5971.428571428572,6018.0,7044.0,-1.1627906976744207,43.18364952354944,1,3,8
2018-08-08,5940.0,5760.0,5965.714285714285,6012.666666666667,7040.246575342466,-0.1680672268907557,42.58325179338878,2,3,8
2018-08-09,5930.0,5750.0,5958.571428571428,6006.666666666667,7036.465753424657,-0.16835016835017313,41.049451533852924,3,3,8
2018-08-10,5930.0,5750.0,5955.714285714285,6001.333333333333,7032.684931506849,0.0,40.234942210451614,4,3,8
2018-08-11,5930.0,5750.0,5951.428571428572,5996.666666666667,7028.904109589041,0.0,40.11477785386025,5,3,8
2018-08-12,5930.0,5750.0,5947.142857142857,5992.333333333333,7025.123287671233,0.0,40.058864732339075,6,3,8
2018-08-13,5950.0,5770.0,5937.142857142857,5988.666666666667,7021.397260273972,0.3372681281618828,38.661513726751814,0,3,8
2018-08-14,5950.0,5770.0,5937.142857142857,5985.0,7017.671232876713,0.0,36.836076768431504,1,3,8
2018-08-15,5920.0,5740.0,5934.285714285715,5980.666666666667,7013.86301369863,-0.5042016806722671,36.571454227764015,2,3,8
2018-08-16,5910.0,5730.0,5931.428571428572,5976.333333333333,7010.027397260274,-0.16891891891891442,36.997980683792015,3,3,8
2018-08-17,5840.0,5660.0,5918.571428571428,5971.0,7006.0,-1.1844331641285955,44.28356899262069,4,3,8
2018-08-18,5840.0,5660.0,5905.714285714285,5965.666666666667,7001.972602739726,0.0,49.943646403296405,5,3,8
2018-08-19,5840.0,5660.0,5892.857142857143,5960.333333333333,6997.945205479452,0.0,54.487159722985815,6,3,8
2018-08-20,5870.0,5690.0,5881.428571428572,5956.0,6994.0,0.5136986301369939,56.36090599079679,0,3,8
2018-08-21,5900.0,5720.0,5874.285714285715,5952.666666666667,6990.13698630137,0.5110732538330387,56.625407562106574,1,3,8
2018-08-22,5900.0,5720.0,5871.428571428572,5948.666666666667,6986.273972602739,0.0,55.93921167002897,2,3,8
2018-08-23,5900.0,5720.0,5870.0,5944.666666666667,6982.41095890411,0.0,54.94406769322846,3,3,8
2018-08-24,5900.0,5720.0,5878.571428571428,5940.333333333333,6978.54794520548,0.0,53.0766091300773,4,3,8
2018-08-25,5900.0,5720.0,5887.142857142857,5936.0,6974.684931506849,0.0,50.75974511464069,5,3,8
2018-08-26,5900.0,5720.0,5895.714285714285,5931.666666666667,6970.821917808219,0.0,47.928346901879756,6,3,8
2018-08-27,5930.0,5750.0,5904.285714285715,5929.333333333333,6967.041095890411,0.5084745762711895,46.158148929619934,0,3,8
2018-08-28,5940.0,5760.0,5910.0,5927.333333333333,6963.287671232877,0.1686340640809414,44.25111207083395,1,3,8
2018-08-29,5940.0,5760.0,5915.714285714285,5925.333333333333,6959.534246575343,0.0,42.16006717657209,2,3,8
2018-08-30,5920.0,5740.0,5918.571428571428,5923.666666666667,6955.726027397261,-0.33670033670033517,41.31321349351368,3,3,8
2018-08-31,5940.0,5760.0,5924.285714285715,5922.333333333333,6951.972602739726,0.33783783783782884,40.05886473233341,4,3,8
2018-09-01,5940.0,5760.0,5930.0,5921.0,6948.219178082192,0.0,38.71647604323756,5,3,9
2018-09-02,5940.0,5760.0,5935.714285714285,5920.666666666667,6944.465753424657,0.0,38.50063441736925,6,3,9
